"ano","regiao","uf","municipio","ef_LP5","ef_LP9","ef_MT5","ef_MT9","ef_aband"
"2015","Sul","RS","4320354",0.878740140661043,0.888509748361095,0.85104328553884,0.952847869066866,0.620323696000796
"2013","Sul","RS","4320404",0.863884044083246,0.979722119005042,0.907335493739706,0.996292991960361,0.761622079488907
"2015","Sul","RS","4320404",0.967824111587206,0.977535379419326,0.968084575435872,0.996636611162617,0.738553104269143
"2013","Sul","RS","4320503",0.750055291641238,0.948753155876627,0.794061505188455,0.991266284602503,0.607083264724529
"2015","Sul","RS","4320503",0.933415677112849,0.936271838963103,0.947887718793885,0.972944674207897,0.413731766471768
"2013","Sul","RS","4320552",0.773081640736616,0.952336832904201,0.83410487066568,0.987084861671239,0.613556850871876
"2015","Sul","RS","4320552",0.897401380151338,0.923291015609677,0.918743219613903,0.981884171481252,0.628124797521148
"2013","Sul","RS","4320602",0.872118159886283,0.951098164904785,0.934985652101996,0.973764848021609,0.315683354025211
"2013","Sul","RS","4320677",0.819046384661238,0.935247609935331,0.87172624063157,0.942919691587008,0.69928018340616
"2015","Sul","RS","4320677",0.944433478102948,0.935759849763846,0.968807214846135,0.957212461899694,0.65751734488323
"2013","Sul","RS","4320701",0.815207366950352,0.943769408391894,0.854439926792355,0.955518363733198,0.202652618415382
"2015","Sul","RS","4320701",0.972071033509346,0.973907819297805,0.969985699808392,0.98444794323615,0.247436186229617
"2013","Sul","RS","4320800",0.84704831035585,0.95005347300277,0.900422375907793,0.96753181411659,0.556123315710452
"2015","Sul","RS","4320800",0.95795476639359,0.94371827298624,0.957097629930545,0.970847189968015,0.425138755739705
"2013","Sul","RS","4320859",0.846121643908632,0.857035112974931,0.897311502486867,0.954821493311469,0.281467096324056
"2013","Sul","RS","4320909",0.871710281134861,0.964405893648116,0.923356016605058,0.993343381178064,0.816376086916471
"2015","Sul","RS","4320909",0.954787027003438,0.957911750024513,0.959506575469005,0.991651386819106,0.805736218708082
"2013","Sul","RS","4321006",0.846114734237672,0.965296169458939,0.881174526012182,0.995343643793844,0.253665928943003
"2015","Sul","RS","4321006",0.968773053794058,0.9757688596975,0.960943128237164,0.996975207115755,0.544832430487652
"2013","Sul","RS","4321105",0.76079960823302,0.916413310858098,0.836815504130388,0.957118580533199,0.205894349552591
"2015","Sul","RS","4321105",0.930757173356582,0.933770547414771,0.926870303809336,0.94665816142753,0.161253017611351
"2013","Sul","RS","4321204",0.816809999927839,0.946094305711476,0.866971541645041,0.959099007204452,0.391113200871077
"2015","Sul","RS","4321204",0.961546888819972,0.950897285214409,0.965968981712852,0.976571924806739,0.549196021387229
"2013","Sul","RS","4321303",0.854618809700737,0.930709184273024,0.900817767596052,0.972946238970562,0.533140459794778
"2015","Sul","RS","4321303",0.966876626047676,0.946110959497236,0.961275767787311,0.956859812759941,0.54493240911923
"2013","Sul","RS","4321352",0.750985951968778,0.919609247951177,0.805988583398098,0.990817190411417,0.602263444138381
"2015","Sul","RS","4321352",0.902950015433702,0.926453447336122,0.906972215555533,0.994708515012723,0.62316638284148
"2013","Sul","RS","4321402",0.779195382488724,0.918080791221926,0.866107464031228,0.954750122560666,0.762828468083627
"2015","Sul","RS","4321402",0.899875513006171,0.906598369851274,0.909087060451075,0.968652220936639,0.595079979134064
"2013","Sul","RS","4321436",0.833339595895082,0.944345071881534,0.861478120823529,0.985427227609261,0.561579761902661
"2015","Sul","RS","4321436",0.962725525835055,0.943627232302575,0.966724805099876,0.938459499562339,0.819729656260022
